volatility,avg_return,risk
0.03621780831931538,0.02753571532049581,1
0.061239575926798365,0.009932924209851831,2
0.020921304830970558,-0.012200273983189867,0
0.014065852851773962,0.02330880728874676,0
0.05207805082202462,0.015403628889802276,2
0.011440914600706172,0.028495492608099717,0
0.06827098485602953,-0.009383044466086192,2
0.022727747704497044,-0.01082977450732831,0
0.03129695700716764,0.006237821581611893,1
0.040236151304948106,-0.005438542990097904,1
0.05282970263056657,-0.013025306967397909,2
0.030450125397465274,-0.0016819078353154143,1
0.04192489889519252,0.01925879806965068,1
0.023977164751085182,0.005711721920680582,0
0.05146901982034298,-0.017677479364000114,2
0.05252813963310069,-0.011473793815635423,2
0.014553611508969567,0.027444276862666664,0
0.07759424231521916,0.020419867405823057,2
0.031322963842135954,-0.015116394299680806,1
0.057896311855850986,0.002007624686980066,2
0.018542676439134518,0.004758845505563511,0
0.012407196478065288,0.025466020103939106,0
0.028114598712001185,0.0131261142176991,1
0.03181977532625877,0.006003401058890542,1
0.04826971955402958,-0.010757277223723648,1
0.0778709239435191,0.01875664116805573,2
0.07576492590949324,0.024741367521382444,2
0.05185299851677597,0.026093711751155844,2
0.016194475143634365,-0.010200856879042739,0
0.013165910223737665,-0.0037334834618367825,0
0.03720741027826374,-0.006432548411305204,1
0.06801162564063506,-0.0021623336653205354,2
0.029665415678116657,0.007134804157912424,1
0.019864695748233387,0.020109849037701986,0
0.015218545057583958,0.029344346830025868,0
0.06405713385076603,-0.010064215923291379,2
0.010386548198652168,0.02077307142274171,0
0.059480014069333204,0.016450358402049368,2
0.06398892426801621,-0.016297767413295482,2
0.035092600998099084,-0.014206547023743514,1
0.07041723981129155,0.011164906341377897,2
0.03316286173968545,-0.01682208248569882,1
0.031768762520096354,-0.003740833898662647,1
0.06107243248366449,0.011877873567760657,2
0.07210489198034287,0.0036107462580974655,2
0.01837159721568112,0.01566223936114975,0
0.06325495340318282,0.008063859878474813,2
0.06396770259681928,0.004689779818219538,2
0.04659129805673959,0.0013770509179274822,1
0.011779338872086664,-0.014605428650334778,0
0.012200042998071398,0.01182052056318902,0
0.03200491867534287,0.005428534558235139,1
0.07352965317482651,-0.007535388542556252,2
0.03872680461249409,0.017777556927152435,1
0.026015871584413573,-0.01615100450856035,1
0.030282601703963765,-0.011938935637299778,1
0.07507883566398012,0.02040601897822085,2
0.054338262955729646,0.023573029509385886,2
0.06625704538293802,-0.010671497055698208,2
0.07247912989429844,0.006967112095782537,2
0.06652081086148438,0.024804564996174665,2
0.03226024324803047,-0.014497403773616161,1
0.025955461377935918,0.0013553894313128164,1
0.06726103361457453,0.023036529162817173,2
0.010486649137183349,0.005537365128878287,0
0.039218770220414534,-0.008894609476463488,1
0.018390575713357796,-0.0031192414298186017,0
0.07600367927387634,-0.003839853398962238,2
